1.47ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:28:12	public init(_ grid: R...)
1.45ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:278:49	get {}
1.39ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Util/optable.swift:17:13	public func printAddOpTable<G>(values: [G]) where G : AdditiveGroup
1.39ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:41:17	public func coeff(_ i: Int) -> K
1.36ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:35:12	public init(_ gen: (Int, Int) -> R)
1.30ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:161:10	func submatrix<n0, m0>(inRange: (rows: CountableRange<Int>, cols: CountableRange<Int>)) -> Matrix<R, n0, m0> where n0 : _Int, m0 : _Int
1.24ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:64:25	get {}
1.21ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:55:42	get {}
1.20ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/IntegerFactorization.swift:33:13	public func primeFactors(of n: IntegerNumber) -> [IntegerNumber]
1.14ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:194:26	public mutating func multiplyCol(at j0: Int, by r: R)
1.10ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:107:29	get {}
1.09ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:228:19	mutating func next() -> (Int, Int)?
1.06ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Util/optable.swift:21:13	public func printMulOpTable<M>(values: [M]) where M : Monoid
1.06ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:330:26	mutating public func next() -> (value: R, row: Int, col: Int)?
1.02ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/EuclideanRing.swift:34:13	public func lcm<R>(_ a: R, _ b: R) -> R where R : EuclideanRing
1.01ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Quotient/IntQuotientRing.swift:46:38	get {}
1.01ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:51:38	get {}
0.99ms	<invalid loc>	get {}
0.98ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:118:17	static func ball(dim: Int) -> SimplicialComplex
0.97ms	<invalid loc>	get {}
0.95ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Rational.swift:36:13	public func ==(a: RationalNumber, b: RationalNumber) -> Bool
0.95ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:98:13	public func Monomial<K>(degree d: Int, coeff a: K) -> Polynomial<K> where K : Field
0.94ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:150:38	get {}
0.94ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Field.swift:6:13	public func /<F>(a: F, b: F) -> F where F : Field
0.93ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:73:13	public func *<A, R>(r: R, a: FreeModule<A, R>) -> FreeModule<A, R> where A : Hashable, R : Ring
0.92ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:65:13	public func ==<R, n, m>(a: Matrix<R, n, m>, b: Matrix<R, n, m>) -> Bool where R : Ring, n : _Int, m : _Int
0.91ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Permutation.swift:52:13	public func ==<n>(a: Permutation<n>, b: Permutation<n>) -> Bool where n : _Int
0.91ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:78:13	public func *<A, R>(a: FreeModule<A, R>, r: R) -> FreeModule<A, R> where A : Hashable, R : Ring
0.89ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:81:44	(closure)
0.89ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:58:13	public func ==<A, R>(a: FreeModule<A, R>, b: FreeModule<A, R>) -> Bool where A : Hashable, R : Ring
0.88ms	<invalid loc>	get {}
